PL	NAME	YEAR	TEAM	Avg. Mile	TIME	SCORE
173	Betterbed, Dominique	SR-4	Boston U.	6:38.3	24:45.1	169
174	Flagg, Laura	SO-2	UMass Lowell	6:38.4	24:45.6	170
175	Maheshwari, Kajol	JR-3	Army West Point	6:38.8	24:47.1	171
176	Tzimorotas, Cailtin	SO-2	Holy Cross	6:39.0	24:47.8	172
177	Dana, Ashley	FR-1	Central Connecticut	6:40.6	24:53.5	173
178	De Lucia, Bianca	JR-3	Sacred Heart	6:40.8	24:54.5	174
179	Hedrick, Helen	FR-1	Army West Point	6:41.0	24:55.3	175
180	Gunther, Hannah	SR-4	Colgate	6:41.1	24:55.5	176
181	Klinowski, Nora	SO-2	Niagara	6:42.2	24:59.6	177
182	Wolker, Elin	SR-4	Boston U.	6:43.0	25:02.7	178
183	Demars, Nicole	SR-4	Hartford	6:43.3	25:03.9	179
184	Nolan, Kira	FR-1	New Hampshire	6:44.9	25:09.6	180
185	Cuffe, Dara	SR-4	Providence	6:45.7	25:12.5	181
186	Martinez, Vicky	JR-3	Colgate	6:46.7	25:16.5	182
187	Carney, Sara	JR-3	Wagner	6:46.8	25:16.9	 
188	Liell, Vivian	SO-2	Wagner	6:47.4	25:18.9	 
189	Barretto, Cayla	SO-2	New Hampshire	6:47.6	25:19.7	183
190	Parkinson, Laura	SO-2	Boston U.	6:47.8	25:20.5	184
191	Chesters, Sabrina	SO-2	Central Connecticut	6:47.9	25:20.9	185
192	Quarshie, Kaylah	SO-2	Albany	6:48.1	25:21.8	186
193	Scheck, Emily	SO-2	Canisius	6:48.5	25:23.0	187
194	Wilkinson, Justyna	JR-3	Canisius	6:48.5	25:23.0	188
195	Larson, Denise	SR-4	Colgate	6:49.0	25:25.0	189
196	Serkes, Morgan	SO-2	Siena	6:49.1	25:25.3	190
197	Mahoney, Caroline	SO-2	New Hampshire	6:49.4	25:26.5	191
198	Melao, Mia	FR-1	Fairfield	6:49.9	25:28.5	192
199	Hart, Meggie	FR-1	Niagara	6:50.1	25:29.0	193
200	Berardi, Skyler	SR-4	Colgate	6:52.2	25:36.9	194
201	Alex, Bridget	FR-1	Fordham	6:52.6	25:38.5	195
202	Doyle, Aileen	SR-4	Canisius	6:55.0	25:47.4	196
203	Villalba, Alex	FR-1	Fairfield	6:55.3	25:48.5	197
204	Weiss, Olivia	JR-3	Sacred Heart	6:55.9	25:50.7	198
205	Cass, Katherine	FR-1	Holy Cross	6:56.0	25:51.2	199
206	Tedeschi, Allie	SR-4	Hartford	6:56.4	25:52.6	200
207	Bugara, Grace	SO-2	Northeastern	6:56.5	25:52.8	201
208	Joseph, Emma	JR-3	Colgate	6:57.4	25:56.3	202
209	Cary, Emma	SR-4	Sacred Heart	6:57.5	25:56.6	203
210	Graves, Elizabeth	SO-2	Holy Cross	6:57.7	25:57.6	204
211	freemire, julia	JR-3	Niagara	6:58.1	25:59.0	205
212	Farren, Kelsi	JR-3	Fairfield	7:00.2	26:06.6	206
213	Frawley, Jane	FR-1	Fairfield	7:00.5	26:07.8	207
214	Piccolo, Amy	SR-4	Northeastern	7:02.5	26:15.2	208
215	Manners, Sophia	FR-1	Colgate	7:03.0	26:17.1	209
216	Stone, Kaylee	SO-2	Binghamton	7:03.1	26:17.5	210
217	Kelly, Brigit	SO-2	Sacred Heart	7:03.6	26:19.6	211
218	Ayres, Julia	FR-1	Bryant	7:05.9	26:28.0	212
219	Russell, Elle	FR-1	Niagara	7:07.2	26:32.8	213
220	Hamel, Amanda	SR-4	Hartford	7:08.0	26:36.0	214
221	Ricci, Morgan	SR-4	Central Connecticut	7:08.5	26:37.7	215
222	Kern, Katie	SR-4	Fairfield	7:08.8	26:38.8	216
223	Keown, Jamie	JR-3	Albany	7:09.8	26:42.6	217
224	Rao, Sajora	FR-1	Buffalo	7:11.0	26:47.2	218
225	Campise, Breann	JR-3	Bryant	7:13.3	26:55.7	219
226	Ashton, Claire	SO-2	Binghamton	7:13.5	26:56.2	220
227	Freeman, Sarah	FR-1	Bryant	7:14.3	26:59.4	221
228	Hackman, Courtney	SR-4	Hartford	7:14.8	27:01.3	222
229	Roman, Casey	FR-1	Niagara	7:16.0	27:05.5	223
230	Baker, Kaeli	SR-4	Hartford	7:16.8	27:08.8	224
231	Bryant, Diondra	SR-4	St. Francis (N.Y.)	7:17.1	27:09.9	 
232	Gajewski, Danielle	SR-4	New Hampshire	7:17.2	27:10.0	225
233	Rivers, Leah	SO-2	St. Francis (N.Y.)	7:19.4	27:18.2	 
234	Kurz, Natalie	FR-1	Buffalo	7:21.7	27:27.1	226
235	Boese, Megan	SO-2	Hofstra	7:23.1	27:32.2	227
236	Bacher, Alli	SR-4	Hofstra	7:25.0	27:39.3	228
237	Lock, Kierstin	SO-2	Bryant	7:26.7	27:45.5	229
238	Kibler, Grace	FR-1	Niagara	7:29.5	27:56.2	230
239	Meizen, Caroline	SO-2	Bryant	7:31.0	28:01.7	231
240	ronan, mallory	JR-3	Niagara	7:33.3	28:10.0	232
241	Accetura , Kailyn	SO-2	Central Connecticut	7:46.3	28:58.8	233
242	Goyette, Elizabeth	SO-2	Bryant	7:57.1	29:38.8	234
243	Suits, Alyssa	SO-2	Hofstra	9:02.5	33:42.9	235
