"  193   160   159  Katie Chinery, Sr            150    12:22     24:08    6:28  Rider                "
"   89   161   160  Grayce Heinemann, Fr         176    12:36     24:12    6:29  Loyola (Md )         "
"  252   162   161  Nicole Bezborodko, Fr        143    12:17     24:13    6:29  Towson               "
"  259   163   162  Emmy Beyer, Fr               163    12:27     24:14    6:30  Umbc                 "
"  198   164   163  Kristin Siegle, Jr           122    12:03     24:15    6:30  Rider                "
"  235   165   164  Britton Gagliardi, Sr        172    12:35     24:16    6:30  St. Joseph's (Pa )   "
"  194   166   165  Annais Cummiskey, Sr         166    12:29     24:16    6:30  Rider                "
"   19   167   166  Tina Capparell, Fr           126    12:05     24:17    6:31  Delaware             "
"   70   168   167  Emily Moore, Sr              155    12:23     24:17    6:31  Lafayette            "
"   72   169   168  Erin Rome, Sr                178    12:37     24:17    6:31  Lafayette            "
"  124   170   169  Kyra Velock, So              140    12:16     24:18    6:31  Monmouth             "
"  119   171   170  Alyssa Repsher, So           153    12:23     24:23    6:32  Monmouth             "
"   91   172   171  Tara Ryan, So                173    12:35     24:24    6:32  Loyola (Md )         "
"  106   173   172  Anna Latzko, So              167    12:30     24:25    6:33  Maryland             "
"   71   174   173  Liv Palma, So                177    12:36     24:25    6:33  Lafayette            "
"  117   175   174  Melanie Pfennig, So          157    12:24     24:29    6:34  Monmouth             "
"    1   176   175  Kassidy Ayres, Sr            183    12:43     24:30    6:34  American             "
"    3   177   176  Katelyn Deibler, Jr          193    12:50     24:31    6:34  American             "
"  264   178   177  Bridgett Redding, Jr         180    12:38     24:32    6:35  Umbc                 "
"  224   179   178  Lauren Ginefra, Fr           191    12:49     24:39    6:36  Seton Hall           "
"   92   180   179  Gabrielle Silvestri, Sr      185    12:44     24:41    6:37  Loyola (Md )         "
"  114   181   180  Amanda Dwyer, So             152    12:23     24:41    6:37  Monmouth             "
"   41   182   181  Brigid Prial, Sr             148    12:20     24:44    6:38  George Washington    "
"  209   183   182  Kayla Brennan, Sr            168    12:31     24:46    6:38  Saint Francis U      "
"  227   184   183  Emma Newgarden, Fr           192    12:50     24:47    6:38  Seton Hall           "
"   98   185   184  Mary Kerby, Jr               186    12:44     24:47    6:39  Marshall             "
"  260   186   185  Morgan Casey, Fr             182    12:39     24:47    6:39  Umbc                 "
"  192   187   186  Haley Arguien, Fr            179    12:37     24:49    6:39  Rider                "
"  265   188   187  Briana Roberts, Jr           184    12:44     24:59    6:42  Umbc                 "
"  257   189   188  Paige Keefer, So             181    12:38     24:59    6:42  Towson               "
  222   190   189  Cristina Fernandez           190    12:48     25:10    6:45  Seton Hall           
"  127   191   190  Alexandra Kay, So            187    12:45     25:14    6:46  Mount St. Mary's     "
