Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,194,439,Sarah Caesar (SO),Valparaiso (VALP),3:34,3:56,4:06,4:09,4:17,4:20,24:26.6,6:33
Great Lakes Regional,195,127,Victoria Ostrander (JR),Detroit Mercy (DETM),3:38,3:58,4:13,4:09,4:12,4:16,24:29.2,6:34
Great Lakes Regional,196,157,Sienna Crews (SR),Evansville (EVAN),3:34,4:04,4:18,4:10,4:14,4:09,24:31.3,6:35
Great Lakes Regional,197,409,Bailie Brown (FR),Purdue Fort Wayne (PFW),3:38,4:05,4:16,4:11,4:14,4:15,24:41.0,6:37
Great Lakes Regional,198,511,Lauren Shuman (SO),Wright State (WRST),3:37,4:10,4:19,4:10,4:11,4:12,24:41.6,6:37
Great Lakes Regional,199,469,Meta Ehlen,Wis.-Green Bay (UWGB),3:38,4:01,4:15,4:14,4:16,4:18,24:44.2,6:38
Great Lakes Regional,200,471,Alexandra Kershner,Wis.-Green Bay (UWGB),3:36,4:03,4:16,4:12,4:15,4:20,24:45.3,6:38
Great Lakes Regional,201,83,Maddie O'Dea (FR),Cincinnati (CINC),3:38,4:05,4:20,4:16,4:20,4:07,24:48.9,6:39
Great Lakes Regional,202,100,Lily Michael (FR),Cleveland St. (CLST),3:25,3:58,4:32,4:17,4:20,4:19,24:54.6,6:41
Great Lakes Regional,203,540,Morgan Buckley (FR),Youngstown St. (YSU),3:34,4:04,4:18,4:12,4:28,4:19,24:56.5,6:41
Great Lakes Regional,204,99,Heather McArdle (FR),Cleveland St. (CLST),3:36,4:04,4:21,4:16,4:22,4:15,24:57.5,6:42
Great Lakes Regional,205,101,Graicen Riley (FR),Cleveland St. (CLST),3:35,4:03,4:19,4:17,4:21,4:19,24:57.5,6:42
Great Lakes Regional,206,126,Rebecca Measel (SO),Detroit Mercy (DETM),3:38,4:04,4:22,4:16,4:19,4:17,24:58.8,6:42
Great Lakes Regional,207,159,Haylee Harmeyer (FR),Evansville (EVAN),3:38,4:05,4:20,4:16,4:23,4:17,25:02.3,6:43
Great Lakes Regional,208,412,Caitlyn Kiekhaefer (SR),Purdue Fort Wayne (PFW),3:37,4:11,4:22,4:18,4:21,4:25,25:17.5,6:47
Great Lakes Regional,209,476,Alexia Oyer (FR),Wis.-Green Bay (UWGB),3:38,4:07,4:29,4:19,4:23,4:22,25:21.5,6:48
Great Lakes Regional,210,142,Lexi Seifert (FR),Eastern Michigan (EMU),3:44,4:19,4:28,4:21,4:23,4:12,25:29.7,6:50
Great Lakes Regional,211,98,Olivia Hammons (JR),Cleveland St. (CLST),3:27,3:58,4:36,4:27,4:29,4:32,25:30.8,6:50
Great Lakes Regional,212,441,Maranda Donahue (FR),Valparaiso (VALP),3:38,4:14,4:32,4:19,4:23,4:23,25:31.8,6:51
Great Lakes Regional,213,443,Taylor Justison (JR),Valparaiso (VALP),3:39,4:13,4:30,4:29,4:31,4:15,25:39.9,6:53
Great Lakes Regional,214,468,Miranda Dreckschmidt (SR),Wis.-Green Bay (UWGB),3:52,4:18,4:28,4:20,4:21,4:22,25:43.2,6:54
Great Lakes Regional,215,475,Sarah Niehueser (FR),Wis.-Green Bay (UWGB),3:51,4:15,4:30,4:21,4:26,4:22,25:48.4,6:55
Great Lakes Regional,216,123,Sarah DeDolph (JR),Detroit Mercy (DETM),3:39,4:08,4:30,4:27,4:34,4:35,25:55.3,6:57
Great Lakes Regional,217,474,Neda Mobasher (FR),Wis.-Green Bay (UWGB),3:51,4:16,4:30,4:24,4:31,4:31,26:05.5,7:00
Great Lakes Regional,218,161,Lauren Meyer (SO),Evansville (EVAN),4:00,4:22,4:33,4:28,4:27,4:21,26:14.1,7:02
Great Lakes Regional,219,445,Sarah Messerschmidt (FR),Valparaiso (VALP),3:43,4:21,4:41,4:36,4:38,4:24,26:26.8,7:05
Great Lakes Regional,220,158,Izzy Dawson (SO),Evansville (EVAN),4:05,4:28,4:34,4:30,4:29,4:20,26:28.5,7:06
Great Lakes Regional,221,163,Katelyn Singh (FR),Evansville (EVAN),3:53,4:21,4:37,4:28,4:33,4:39,26:33.6,7:07
Great Lakes Regional,222,410,Emily Fuelling (FR),Purdue Fort Wayne (PFW),3:44,4:31,4:43,4:38,4:43,4:34,26:56.7,7:13
Great Lakes Regional,223,440,Kailee Carro (FR),Valparaiso (VALP),4:05,4:30,4:45,4:38,4:34,4:31,27:05.2,7:16
Great Lakes Regional,224,478,Hannah Suarez (FR),Wis.-Green Bay (UWGB),3:54,4:34,4:45,4:41,4:37,4:34,27:08.3,7:17
Great Lakes Regional,225,444,Claire Kovarik (FR),Valparaiso (VALP),4:05,4:30,4:45,4:42,4:51,4:50,27:46.1,7:27
