Race,Place,Bib Number,Name,School,1k,2k,3k,4k,5k,Finish,Total Time,Pace
Great Lakes Regional,28,279,Jessi Larson (FR),Michigan (MICH),3:18,3:29,3:34,3:29,3:34,3:38,21:06.3,5:40
Great Lakes Regional,29,48,Josephine Thestrup (JR),Butler (BUTL),3:18,3:28,3:33,3:25,3:29,3:52,21:07.6,5:40
Great Lakes Regional,30,175,Lexa Barrott (JR),Indiana (IU),3:19,3:30,3:34,3:29,3:36,3:37,21:08.0,5:40
Great Lakes Regional,31,392,Emma Benner (JR),Purdue (PURD),3:19,3:29,3:33,3:29,3:34,3:41,21:09.1,5:40
Great Lakes Regional,32,283,Anna West (JR),Michigan (MICH),3:17,3:29,3:36,3:30,3:36,3:40,21:10.6,5:41
Great Lakes Regional,33,177,Haley Harris (SR),Indiana (IU),3:20,3:29,3:34,3:29,3:36,3:43,21:14.4,5:42
Great Lakes Regional,34,104,Emily Borchers (SR),Dayton (DAYT),3:19,3:32,3:35,3:32,3:37,3:39,21:16.3,5:42
Great Lakes Regional,35,460,Sarah Anderson (SR),Western Michigan (WMU),3:19,3:29,3:37,3:33,3:41,3:35,21:17.2,5:43
Great Lakes Regional,36,378,Kalee Soehnlen (SO),Ohio State (OHST),3:19,3:31,3:39,3:35,3:37,3:33,21:18.0,5:43
Great Lakes Regional,37,299,India Johnson (SO),Michigan State (MIST),3:24,3:30,3:42,3:32,3:35,3:31,21:18.3,5:43
Great Lakes Regional,38,376,Julia Rizk (SR),Ohio State (OHST),3:19,3:32,3:39,3:35,3:37,3:33,21:18.4,5:43
Great Lakes Regional,39,111,Taylor Vernot (SR),Dayton (DAYT),3:19,3:32,3:36,3:37,3:40,3:36,21:21.8,5:44
Great Lakes Regional,40,253,Carly Davis (JR),Miami (Ohio)(MIAO),3:17,3:29,3:37,3:33,3:41,3:43,21:22.8,5:44
Great Lakes Regional,41,346,Maggie Schneider (SO),Oakland (OAKL),3:20,3:28,3:34,3:31,3:42,3:46,21:24.3,5:44
Great Lakes Regional,42,198,S. Brooke Moore (JR),Indiana State (INST),3:18,3:32,3:39,3:38,3:41,3:35,21:25.5,5:45
Great Lakes Regional,43,306,Amber Way (JR),Michigan State (MIST),3:24,3:31,3:42,3:32,3:35,3:39,21:26.0,5:45
Great Lakes Regional,44,261,Alesha Vovk (SR),Miami (Ohio)(MIAO),3:17,3:29,3:37,3:34,3:43,3:44,21:26.7,5:45
Great Lakes Regional,45,144,Emily Smith (JR),Eastern Michigan (EMU),3:22,3:33,3:41,3:33,3:37,3:37,21:27.2,5:45
Great Lakes Regional,46,301,Jenna Magness (FR),Michigan State (MIST),3:24,3:30,3:42,3:33,3:39,3:38,21:29.7,5:46
Great Lakes Regional,47,179,Bailey Hertenstein (FR),Indiana (IU),3:19,3:30,3:36,3:37,3:44,3:44,21:33.2,5:47
Great Lakes Regional,48,42,Angelina Ellis (SO),Butler (BUTL),3:22,3:30,3:40,3:37,3:42,3:42,21:37.2,5:48
Great Lakes Regional,49,394,Jenna Halderman (JR),Purdue (PURD),3:22,3:32,3:43,3:38,3:45,3:36,21:38.7,5:48
Great Lakes Regional,50,2,Mackenzie Andrews (JR),Akron (AKR),3:17,3:29,3:37,3:38,3:50,3:45,21:40.1,5:49
Great Lakes Regional,51,322,Annasophia Keller (SO),Notre Dame (ND),3:19,3:32,3:48,3:47,3:42,3:34,21:46.5,5:50
Great Lakes Regional,52,323,Claudia Magnussen (SO),Notre Dame (ND),3:19,3:32,3:44,3:38,3:46,3:45,21:47.0,5:51
Great Lakes Regional,53,561,Mikayla Fox,Wis.-Milwaukee (MILW),3:23,3:36,3:43,3:38,3:42,3:45,21:50.1,5:51
Great Lakes Regional,54,398,Rachel Yuska (SR),Purdue (PURD),3:22,3:33,3:47,3:41,3:44,3:42,21:51.9,5:52
Great Lakes Regional,55,528,Anna Kostarellis (SO),Xavier (Ohio)(XAVI),3:22,3:33,3:43,3:39,3:50,3:42,21:51.9,5:52
Great Lakes Regional,56,352,Alyssa Atkinson (SR),Ohio (OHIO),3:23,3:34,3:44,3:39,3:43,3:46,21:52.2,5:52
Great Lakes Regional,57,182,Hannah Stoffel (SO),Indiana (IU),3:21,3:33,3:45,3:44,3:46,3:42,21:53.0,5:52
Great Lakes Regional,58,318,Sydney Foreman (SR),Notre Dame (ND),3:19,3:33,3:44,3:43,3:46,3:47,21:53.7,5:52
Great Lakes Regional,59,423,Michelle Hostettler (SO),Toledo (TOLE),3:23,3:38,3:48,3:41,3:42,3:39,21:54.1,5:52
Great Lakes Regional,60,218,Morgan Fleming (FR),Iupui (IUPU),3:23,3:33,3:46,3:41,3:45,3:44,21:54.5,5:52
Great Lakes Regional,61,523,Jenna Clayworth (SO),Xavier (Ohio)(XAVI),3:22,3:34,3:45,3:39,3:46,3:47,21:55.0,5:53
Great Lakes Regional,62,466,Juliane Sormain (JR),Western Michigan (WMU),3:20,3:37,3:51,3:40,3:44,3:39,21:55.5,5:53
Great Lakes Regional,63,257,Maegan Murphy (JR),Miami (Ohio)(MIAO),3:18,3:32,3:45,3:43,3:49,3:45,21:55.6,5:53
Great Lakes Regional,64,139,Madison Distelrath (SO),Eastern Michigan (EMU),3:23,3:37,3:49,3:42,3:45,3:38,21:56.7,5:53
Great Lakes Regional,65,26,Sarah Hunsley (SO),Bowling Green (BGSU),3:19,3:34,3:49,3:42,3:46,3:45,21:58.1,5:54
